image_id,id,caption
73860,633558,A woman with food on her tongue licks the sandwich.
189798,494203,The train is stopping on the railroad tracks. 
270325,702879,A train on the tracks from under a bridge 
330327,607476,The chocolate cake on the plate is topped with strawberries. 
90662,758878,A bowl of cereal and a banana on a counter together.
175923,493820,A bed sitting in a bedroom next to a white wall.
578856,300504,An old man flying a small kite in a field. 
300955,319858,A man raring back at a tennis ball with his racquet.
485776,386031,A person with a remote sitting in a room.
147204,494631,A group of men in bathing suits next to an airplane boat in the water. 
460503,284448,A hot dog sits on a stand in front of a jar of mustard and a jar of ketchup.
521428,418570,A clipboard on a table with several wine glasses
531752,515936,"Several hot dogs on a tray with ketchup, relish and mustard on them."
383923,28562,"Luggage, boxes, and bags sitting outside of a car."
414115,560777,A tv monitor on a table and a radio 
391284,208201,A surfer launches off a wave with a city in the background. 
350240,304541,a man grills some food on a barbeque pit 
506130,753954,A man leans over as he skates down a road
109862,644739,A man is using a paddle to surf on the water
43692,429718,A woman stabbing a birthday cake on a table.
427727,827740,A hot dog covered in coleslaw and sauce with fries.
269386,35594,"A bedroom with a desk, two seats, and a bed. "
263381,408642,A picture of people protesting in front of a large statue.
532504,83077,A banquet hall with three large wooden tables below chandelier.
570836,117412,Several vases on a shelf up against a bare wall.
501212,321686,A boy riding a skateboard down a ramp in a park.
571158,500906,A female tennis player getting ready to hit a ball 
313802,715113,A boat that is sitting in the water.
426863,657508,Several motorcycles and bicycles against a fence in a city.
40334,286998,A person cross country skiing on a sunny day.
260748,535586,A kitchen is full of fruits and vegetables in a zoo.
61147,288335,The peak of a building showing its clock.
549924,295079,People sit and watch television while eating at a table
110518,387821,A snapshot of someone's desktop computer monitor and keyboard. 
266058,237526,A very clean bathroom with two toilets .
282574,317414,A bus parked out front of a building.
546002,746239,A black and white photo of two people traveling down a river.
82198,535802,A living room has a gold sofa and fireplace.
216825,255806,A skate board rider following an obstacle course in the road.
18089,583151,a brown box with three donuts and two are the same kind
2066,430431,A giraffe standing in sandy area next to a brick wall.
382704,323830,Some baseball players on the field in action.
145570,569155,A man stands in front of a Jamaican food truck in a city.
348550,568478,Watching a commercial jet airplane fly over a wooded area
566043,448365,Bikes lined up beside each other with men standing around. 
571750,613726,A man  on a snowboard and another man carrying his snowboard behind him.
237142,615253,A vase with a painting on the side of it.
379159,63106,One boat sailing next to one canoe in a body of water.
395560,68220,Black and white photo of man walking a horse pulling a cart.
405469,510506,a mom and her son eating at a restaurant 
32471,275382,"A parking lot at a cemetery with cars, motorcycles, and 2 people standing in it."
11227,594831,A young girl surfing a small wave in the ocean.
467394,751335,"A group of stuffed animals, bears and frogs on display."
336129,78664,a woman standing in front of the camera while another person walks down the hill with their skiis
68764,513258,A picture of a parking meter on a sidewalk.
421389,202836,A giraffe with a piece of green sticking out of its mouth.
256214,201079,A small gray TV sitting on top of a wooden stand.
460413,147854,A girl sitting on the side walk with her skate board.
370682,152348,A close-up of a woman wearing glasses eating a hot dog.
169100,124643,a sheep that needs a god damn trim
437849,570716,An empty house with appliances out of place.
347638,779160,Two men are riding on their stomachs on surfboards.
450914,238190,A large and small bowl filled with fruit.
145794,311284,Woman with skis is standing on packed snow
10084,121534,A train on a train track going over a bridge
489031,739634,A rifle laying on a box covered with a cloth.
233030,750963,a little cup full of assorted toothbrushes 
383348,272391,Several baskets full of apples sitting next to each other with a price tag on one of them.
364032,307213,a white kitchen a stove a window a sink and some cabinets
336783,305556,There are several kites being flown by the water
439141,154633,"Two foxes, one on a blanket and another on a bed."
132386,586748,Black and white photograph of three people on a bench.
269160,226870,A blue fire hydrant in front of a white house.
80040,71245,A plate with various sashimi and breads on it.
418409,30648,A girl sitting on a couch using her computer
192655,136900,A pile of travel things layed out on the floor.
32301,234210,The sign on the street warns against heavy trucking. 
331616,612866,some people playing with skateboards at a park
426906,79700,a bedroom setting with purple and tan drapes
416843,620430,A woman sitting on a bench with a book.
345972,258473,A little child learning how to pay tennis on the tennis court.
179011,671964,A thin crust cheese pizza with a large slice cut out of it. 
294990,447868,"a room, with a desk and chair and large windows"
236843,95435,A bathroom with a toilet and shower on the side.
446271,582844,A group of people smiles at the camera while eating pizza in the grass
525300,109530,A young child standing at home plate holding a baseball bat.
497731,484531,A STOP sign that has been written on with paint. 
154209,598962,A beautiful white  bathroom with expose brick.
456640,26293,Players competing for the ball in a soccer game.
485381,194430,A person riding skis across a snow covered field.
195699,577685,A plate has five desserts in individual wrappers sitting on it.
511425,538375,A fried meat sandwich is on a plate with fries.
549849,274730,A groupf of people with piles of luggage shop at an airport gift shop. 
68152,775290,A stop sign located in the grass near a parking lot.
534722,576733,a cat laying in a bowl on top of a cabinet
127531,737680,A person is windsurfing in the water with an orange sail.
33625,258156,A man rides on top of the head of an elephant. 
388824,156210,A stop sign has been changed to only apply to women.
404585,442529,a cow standing under a little tree and by some rocks 
343863,653995,A bunch of old looking tool like items displayed in rows.
384261,688070,A large brown teddy bear wearing a red and white shirt.
438191,560024,The horses are grazing in the grass among the fog.
353370,706882,A bicyclist is looking at their reflection in a mirror. 
152488,290367,A dog is sitting on the floor and playing with a toy carrot.
54849,514532,The skateboarder is taking a ride down the boardwalk.
557400,810004,a cat looks out of a room while on a step
377804,531401,a dog yawning while laying down on the beach 
442980,613820,"Animals are having a good time in this photo.
"
564904,427325,A boy biting into a hot dog with onion rings on a bun.
474405,114561,The remote control has been placed next to the small TV.
417261,167175,A group of people standing on a beach holding surfboards.
268901,743168,A baby sitting in the sand with a frisbee behind men in briefs. 
554161,374320,Patty on a whole grain bun served over salad.
261669,461229,A man eating a pine cone standing next to a brickl wall.
105113,84594,A display of several varieties of cupcakes and cakes.
167042,217980,A row of white and blue pots filled with plants.
380499,547191,two boats in the harbor in front of a bridge
6578,194726,a woman with a red shirt is blow drying her hair
85886,349418,Dog sitting on a bench with a leash on his collar.
59552,280282,A man riding a skate board while bending down low.
14090,821481,A couple posing in front of a curtain for a photo.
400818,470894,A group of people that are sitting on chairs in the sand.
209842,613754,"Many people are out and having some fun there.
"
208633,397128,A white plate filled with food to eat
97363,558992,A red stop sign on a grassy lawn.
229155,239434,A clock on a pole near a grove of leafless trees.
179618,287242,Hands opening a blender full of a white liquid.
292818,589879,A bath tub sitting next to a white toilet in a bathroom.
369496,764587,an action scene of what looks like a figure skater on the ice 
124291,339281,A women standing on a bike backwards .
522034,404457,Refection of a patio set and umbrella being cast in water. 
386036,645112,A skateboarder catches air at a skateboard park.
189153,784059,A baseball player practices swinging a baseball bat.
464629,50033,A grey motorcycle parked on a dirty lot next to a forest.
475007,236843,A bowl has a dish that contains broccoli and mushrooms.
403577,605642,"A picture filled with many things all inside.
"
228398,403168,People with luggage standing alongside some train tracks.
395718,417061,A man holding a long piece of bread with melted cheese on it.  
467187,164230,A shot of a rear view mirror taken inside a car showing a dog with its head out the window in the back seat
168522,184602,A sandwich in a basket next to spinach.
559700,752341,A group of elephants that are in the grass.
11076,122148,Business display with large green and red stars. 
21285,737941,people skiing and snowboarding down a snow covered mountain.
110204,471899,"A partial view of a kitchen showing refrigerator, counter and part of the stove."
15474,334318,A cat laying on a towel on an oven door.
492125,166209,Two boys wait at the entrance to a Hamburg subway station.
97982,348731,A freight train taking its cars to its final destination.
504843,234014,A hot dog has a man's head on it.
22559,335402,A street sign telling people that street lights are off or reduced from March to October due to nesting turtles.
63610,683378,there is a dog that has his head out the window
16659,295372,A baseball player sliding in to a base while the baseman tries to tag him out
523718,475094,The woman in a printed dress has her arms out stretched.
305422,20643,The keyboard and the computer mouse both illuminate blue.
446670,340361,A bowl of fruit on a table with four chairs.
296763,741573,A cutting board topped with a couple of tomatoes slices and meat.
406792,387753,This sunny bedroom features  dark wood furniture and a bedspread with bold geometric design
256037,338650,A fire hydrant in some grass on the ground.
574668,396256,"Several different kites are flying in the sky.
"
256869,606256,Blue and yellow train sitting on the tracks.
117768,219977,A bowl of food sits on the table with a utensil in it.
366724,703502,a desk with two computers on it next to a wall
344599,770974,A man delivering hit to a small tennisball
545124,817749,An airport tarmac with a lot of different jetliners on top of it.
265933,370461,A tennis player swings her racket at a ball.
215719,649134,A group of people playing a game of soccer.
194974,278885,some kind of drink with limes and olives in it.
433854,422280,A birthday cake and pastries on a table.
544371,4557,A red toaster oven lights up with a pink light.
257576,744331,A yellow and a dark colored cat on a bathroom sink with their heads in the sink.
160743,423561,A white cat laying on top of a book on a table.
457041,485685,a dog sitting on a bench near trees
475952,479459,A man sitting on top of a wooden chair using a laptop computer.
51453,827338,A plate full of food with a fork sitting on the table 
422044,395786,"An open living room, with a large screen tv."
11667,654450,A herd of sheep on a grassy hillside.
381231,705203,A snowboarder attempts to land a jump off of a snowy ramp.
393954,517751,A podium that has a laptop computer on it.
274715,655942,A man is unloading his camping equipment on the grass
402142,716811,a person is jumping off of a bed
366740,442153,A small dog sits with its owner on a couch.
394739,99426,there are traffic signs and a street sign that reads president 
210570,26615,An older woman sitting on a bench between two trees.
563370,826673,Two surfers ride a small wave with houses on a hillside in the background. 
410800,279549,A young lady is sitting on her couch watching some television. 
576931,193617,A group of people on skis posing for a photo.
313131,568759,Orange bus sitting in traffic line within a city
152406,528164,A girl sitting on some steps talking on her cell phone.
429902,238897,A boat is sailing through the water near large boulders.
101772,501212,Zebras that are bent over and drinking water together.
513966,386952,A building with the name Flookies on it as traffic passes by.
567957,50544,A blue bird stands among dead grass below a tree branch.
30114,357988,The snow covered hillside is ready for the sledders.
480820,162482,A boy and his sibling brush their teeth. 
298017,360119,A woman is smiling as she runs with an upside down umbrella.
318240,812740,Many horses are walking near the guard rail down the side of a street. 
415427,422922,A white and red bus is parked near a pole on a city street.
437513,339987,A man holding a cup and eating something.
405469,508553,A woman eating a salad at a restaurant with a little boy sitting next to her in a red shirt. 
416477,429908,The woman is playing Frisbee on the beach. 
226136,270657,A picture of a bus travelling through a construction area.
91264,242797,The group of zebras are grazing on the grasslands. 
167564,47577,a teenager trying a skateboard trck on a brick fence
453397,399993,"A restroom with a shower, sink, mirror, and toilet."
267353,470308,A street sign that is displaying two street names.
363525,616087,a glass case with many different pastries 
405873,317369,A girl sitting on a log wearing boots.
539729,306033,a white and blue jet at a foggy airport
305460,366965,A bus or train car with a cafe counter built in.
452470,675377,Several people are preparing a meal on the back of a boat.
505903,274304,Many different types of sliced food on a table.
246342,617693,a couple of urinals that are on a wall
275831,396080,A white cat drinking out of the toilet bowl.
345161,441353,A wildlife park enclosure with giraffes and other animals.
107212,89052,A group of adults gathered at a restaurant eating
374818,733282,Several airplanes parked at gates at the airport.
108505,152100,Someone playing with an old cellphone at home. 
499865,208704,an image of a woman skateboarding in the street
540342,680859,One bowl is full of fruit and the other meat and vegetables.
504191,632935,This bird sits on a perch outside of a window
303668,441977,A display of bananas are shown in a store.
94340,389523,A cat relaxes in this tan leather chair. 
479391,223196,A girl with a hat on looking at something.
340238,827787,A glass of wine with a small amount left in it.
264356,562206,A group of people on a field playing baseball.
222472,168704,A woman standing next to a man in front of a Nintendo Wii.
135303,374642,A fire hydrant is shown on the side of the road.
353787,195235,A woman is holding a tennis racket and a tennis ball.
314500,480080,A guy on some sort of a jet ski appears to be adjusting his helmet.
338963,420093,A bathroom has a sink and toilet with its lid up.
26747,91590,man walking with a grey elephant walking down a main street
95320,417760,a giraffe in a field eating leaves off a tree
512786,589741,There is a chair setting in front of a cabinet.
517178,456445,Two pictures of a lady taking pictures of two cats in mirror.
225458,271705,A sandwich cut in half next to a bowl on top of a table.
569234,428231,A chef holding a long rectangular pizza on a cutting board. 
474597,193973,A bike parked next to a surfboard near a building.
175781,252911,A teddy bear in a red sweater and one in a blue sweater.
426414,717730,a girl leaning against a building holding a cell phone
453704,628713,Fireman standing next to fire truck in parking lot.
16063,41232,A group of people on motorcycles performing a stunt.
133490,357949,A kid watching a kite hit the ground in a park.
485891,96807,Two dolls are sitting posed next to each other.
352675,429386,A bird is sitting outdoors on a wire fence.
168329,181638,a giraffe is eating out of a cage at a zoo
505791,63396,A vegetable spring roll cut in half on a plate.
580600,810093,a yellow plate and some different kinds of donuts
126699,200434,A gray parking meter sitting next to a parking space.
151975,207221,a gray black and white cat is laying on top of a red suitcase
581518,429884,doughnuts stacked on top of each other in a bowl 
336314,244948,A bottle of wine and a glass sit on a counter.
69205,173001,An old black dog standing on a tile floor.
118379,223993,A sleeping  dog laying on a stone walkway.
226716,341964,A man holding a green and white lap top computer.
508878,468996,A little boy is standing below the water dispenser of the fridge. 
145127,528482,a woman is outside holding a tennis racket
58666,489458,A pregnant hiker and her dog rest on a bench
323149,146818,a bicycle decorarted with a lot of christmas garland 
579751,593674,"A view of a city at night time, with many cars below."
283484,108551,Two cows standing next to each other on a grass covered field.
441470,162712,A bulldog is riding atop a skateboard past walkers.
390884,570502,A hamburger has a lot of cheese on top.
385743,694098,A computer keyboard sitting next to a  computer mouse.
476525,26364,A pair of scissors being used as a paper weight on a stack of mail
147267,141727,A bed decorated in black and white bedding. 
546093,384343,A woman pulling bags of luggage behind her.
357568,170457,A black-and-white photo with a colored red double-decker bus.
243253,276246,A man in black shirt brushing his teeth in front of a statue.
5430,597089,A woman taking a picture of herself with her cell phone.
489958,797591,A man standing in front of a television playing a video game.
246356,315162,a close up of two cats inside of a refrigerator
531362,770308,Wedding cake with interesting designs throughout layers 
59997,43152,A vase decorated with a picture of two women.
472990,534209,Man jumping with glove closed in air as another touches base
18217,160020,The man is skiing down the ski slope.
250815,386956,Various colors of cake icing has melted into the Legos.
232401,633206,A giraffe feeding on leaves from a tree
292145,545753,A little girl standing on skis in a snowy area.
363128,342238,A man in sunglasses throwing a frisbee outside.
104304,399927,A woman getting her hair styled taking a selfie in the mirror.
37913,234900,A blue single and a double bus near a church.
578171,699570,A man is standing in his kitchen and looks at the camera.
394043,93611,The small bathroom is inside a compact area.
312439,619093,A person swings a tennis rack on a court
159957,657125,A pisture of a young couple drying off under their large umbrella.
132412,124267,Two yellow passenger trains parked in a train station.
236346,308266,Black and white photograph of the door of a subway train.
165341,203174,People flying kites on a beach near houses.
350115,666010,A woman flying a kite in a blue sky.
327324,493483,There are purple flowers held inside of a vase. 
294314,810674,A cat sniffing a tan vase with orange roses.
232031,639033,A large red truck on a city street.
282238,210952,Street signs are shown laying horizontal on wirees
244367,65232,Preparing to use an espresso coffee machine on a kitchen counter
328727,301312,A classroom with a purple chair and a chalkboard.
366661,314751,A girl looking a a beautiful view of the Rockies. 
256930,445711,"Four ceramic vases, all of different shapes and sizes."
524946,677410,A picture is taken of the bus from the plane
167042,230937,A row of potted plants line a wall.
540999,409355,A baseball player in white runs toward a baseball player in orange and white on a field with fans watching.
200205,686758,A man who is putting on a tie.
350129,558605,A baseball player walking towards home plate holding a bat.
346223,209915,an elephant in an enclosure at the zoo is walking
277852,271553,A person is jumping over a pole on a skateboard.
1099,637434,There is a missing door of a bathroom.
468876,148987,A young girl is sitting in front of a keyboard
344672,597043,an elephant is walking through a grassy field
